/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_brain_out/counts_brain_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_heart_out/counts_heart_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_kidney_out/counts_kidney_tophat_htseq.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_brain_out/count_brain.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_heart_out/count_heart.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_kidney_out/count_kidney.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030882_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030886_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030885_tophat_output/count.txt	/proj/b2010078/PublicDataProject/HPA/count_brain_3b.txt	/proj/b2010078/PublicDataProject/HPA/count_heart_6a.txt	/proj/b2010078/PublicDataProject/HPA/count_kidney_a.txt	/proj/b2010078/PublicDataProject/Wang/brain_counts.txt	/proj/b2010078/PublicDataProject/Wang/heart_counts.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/count_brain.txt
ENSG00000006638	10	98	63	26	40	55	84	265	546	13	22	68	25	37
ENSG00000006652	337	101	176	265	324	268	2305	2192	3355	1382	364	385	104	130
ENSG00000006659	1	0	0	5	3	15	0	0	0	0	0	0	0	0
ENSG00000006695	115	605	255	78	170	132	583	3356	1600	294	438	269	129	320
ENSG00000006704	223	293	407	38	66	101	915	739	1256	540	159	430	123	121
ENSG00000006712	1800	858	1712	561	288	408	3845	2127	3351	1002	622	733	788	503
ENSG00000006715	1569	272	511	2504	861	1388	9722	2969	6163	3365	657	1074	770	213
ENSG00000006740	1421	134	103	1464	134	119	4523	776	788	689	156	158	873	100
ENSG00000006744	820	1466	1227	189	266	249	1893	3901	3776	1169	784	919	486	584
ENSG00000006747	8	5	1313	659	8	1298	608	29	9154	195	4	2063	84	2
ENSG00000006756	172	206	2340	65	58	608	597	635	8597	361	129	2606	93	87
ENSG00000006757	162	315	954	119	83	247	1556	1491	2499	143	337	986	131	302
ENSG00000006788	3	4	0	14	14	0	12	16	0	4	8	0	1	24
ENSG00000006831	1814	774	692	535	423	285	11345	5336	6391	6362	936	1130	1335	575
ENSG00000006837	37	19	23	213	39	53	706	207	241	233	53	25	32	10
ENSG00000007001	45	1	558	18	1	166	209	2	1111	37	0	1388	16	0
ENSG00000007038	0	0	4	0	1	1	13	1	3	1	0	0	1	0
ENSG00000007047	1562	393	442	736	270	159	3207	1155	1174	752	284	323	1002	363
ENSG00000007062	65	53	156	44	47	475	335	375	4147	170	208	619	24	22
ENSG00000007080	2178	790	1584	75	87	72	1294	1252	1454	393	135	460	428	644
ENSG00000007129	4	3	0	31	6	5	65	12	13	18	4	5	5	4
ENSG00000007168	6511	1518	1658	6060	2404	1682	35497	17333	15452	10405	2303	2775	2354	987
ENSG00000007171	97	13	21	23	6	5	251	25	112	47	13	21	57	2
ENSG00000007174	77	2	28	300	6	58	968	5	253	198	1	29	49	3
ENSG00000007202	1924	1125	3582	1288	993	1862	4511	6766	11367	2820	1070	3333	797	716
ENSG00000007216	1	0	5561	0	0	201	3	0	786	0	0	2085	0	0
ENSG00000007237	13410	1624	62	4592	1479	71	55735	6643	1143	8901	2446	85	9411	824
ENSG00000007255	222	110	619	21	7	51	416	172	722	108	29	393	100	65
ENSG00000007264	1267	20	20	53	6	7	1177	28	65	181	7	12	276	6
ENSG00000007306	0	0	3	0	0	0	0	0	0	0	0	43	0	0
ENSG00000007312	2	54	34	0	4	0	10	218	97	1	25	26	2	48
ENSG00000007314	7	28	28	0	18	7	14	385	69	1	55	34	1	68
ENSG00000007341	156	96	136	236	158	155	1190	1014	1197	344	153	201	100	83
ENSG00000007350	0	80	1	3	29	0	20	663	30	16	58	2	1	70
ENSG00000007372	322	4	24	247	18	22	2969	146	334	1379	20	64	244	7
ENSG00000007376	371	166	242	9	0	6	397	220	471	178	42	139	100	49
ENSG00000007384	117	668	231	34	24	27	391	644	746	264	404	179	61	170
ENSG00000007392	879	282	589	572	257	442	2533	1124	2949	2565	370	344	166	82
ENSG00000007402	479	245	236	223	69	33	994	480	653	356	759	153	253	67
ENSG00000007516	3007	127	323	214	2	28	2773	75	402	1226	45	233	562	20
ENSG00000007520	563	509	747	140	139	162	566	885	1075	367	170	396	190	173
ENSG00000007541	844	481	1397	20	12	31	713	486	2667	698	125	1133	307	126
ENSG00000007545	256	157	123	210	102	111	737	607	906	493	155	119	103	57
ENSG00000007866	44	561	326	20	113	54	229	1665	1852	65	539	264	42	327
ENSG00000007908	0	5	31	313	237	102	405	87	53	16	171	21	19	4
ENSG00000007923	759	755	1647	845	699	1068	1993	3043	3788	758	705	1049	393	617
ENSG00000007933	7	13	60	14	35	111	56	368	1058	20	17	207	5	34
ENSG00000007944	267	230	328	130	197	265	1052	1984	4094	667	445	742	105	152
ENSG00000007952	3	0	0	0	0	0	24	5	82	6	0	13	0	1
ENSG00000007968	3	1	3	2	5	4	22	45	33	23	0	1	6	9
ENSG00000008018	718	972	1193	282	251	225	5339	5178	8059	1564	995	1235	467	514
ENSG00000008056	9509	122	11	1302	32	7	20146	864	220	3101	71	4	5629	128
ENSG00000008083	454	182	149	289	217	179	2208	1990	874	1096	281	202	313	263
ENSG00000008086	393	32	24	1118	129	160	1206	489	225	383	102	172	217	39
ENSG00000008118	897	1	22	564	0	20	2278	2	539	473	2	104	600	0
ENSG00000008128	48	61	38	7	9	6	99	52	84	25	17	19	8	10
ENSG00000008130	651	544	1029	311	228	248	1093	1640	4004	674	430	635	342	285
ENSG00000008196	0	0	139	0	0	153	3	0	2723	0	0	258	1	0
ENSG00000008197	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	16	8	42	67	7	13	122	9	70	67	18	14	6	1
ENSG00000008256	791	657	344	335	397	195	2419	3211	2549	1142	989	620	316	464
ENSG00000008277	2286	48	178	2685	67	332	10198	333	1337	4589	104	433	866	15
ENSG00000008282	433	411	815	414	505	787	6437	9119	16106	2051	1216	2478	249	309
ENSG00000008283	1032	263	897	139	51	132	1710	635	4142	413	386	961	346	94
ENSG00000008294	3526	732	1480	5435	2589	3706	22905	7033	12338	12458	1653	2891	1881	449
ENSG00000008300	963	25	12	139	10	7	1222	29	58	1578	9	21	290	4
ENSG00000008311	199	328	407	406	1442	1621	1420	2017	3121	1454	418	788	47	165
ENSG00000008323	1	17	21	4	27	32	13	19	127	2	5	36	7	7
ENSG00000008324	235	40	102	120	69	33	753	325	803	212	68	98	68	38
ENSG00000008382	463	141	605	27	27	79	339	241	406	123	88	207	146	104
ENSG00000008394	203	177	897	998	958	2164	3007	2149	14264	1048	156	2461	180	169
ENSG00000008405	170	125	177	312	230	232	1845	1050	4215	746	128	307	121	77
ENSG00000008438	5	0	5	4	0	0	12	3	1	2	2	0	4	2
ENSG00000008441	6065	2656	405	1704	835	219	20486	8393	2006	10609	1822	625	6966	1603
ENSG00000008513	514	2602	2724	297	1420	1417	1548	16955	6884	583	2388	3544	232	2195
ENSG00000008516	11	36	9	2	7	1	25	48	16	56	16	2	3	10
ENSG00000008517	27	410	3566	53	248	1068	202	1478	8092	168	290	702	93	292
ENSG00000008710	4756	4685	653	60	77	26	3104	4496	2039	2671	982	857	375	681
ENSG00000008735	6196	38	51	468	6	8	9772	63	265	2281	6	46	3469	6
ENSG00000008838	1068	1344	1146	249	111	135	2497	2930	3132	2201	776	793	700	532
ENSG00000008853	2195	519	695	597	224	144	3260	1539	1362	1546	560	306	1446	361
ENSG00000008869	663	291	253	983	676	628	2979	3830	2563	1580	565	573	394	274
ENSG00000008952	2755	474	1512	3686	1415	2065	41368	9962	24918	7981	1251	4322	2771	923
ENSG00000008988	2383	1610	5979	203	169	175	22051	18351	28446	5663	4216	4677	1539	1307
ENSG00000009307	5668	6546	5891	14305	26745	11712	46025	97172	42993	7842	10985	9501	4581	9192
ENSG00000009335	950	766	1061	813	855	788	4493	7547	7367	1707	1247	1375	507	625
ENSG00000009413	443	217	220	926	1037	1058	2870	2681	3000	2174	442	565	139	132
ENSG00000009694	264	8	164	1092	48	366	1053	99	1117	335	10	159	73	5
ENSG00000009709	37	0	0	7	0	0	128	2	0	34	0	0	33	0
ENSG00000009724	92	29	36	31	27	34	471	146	283	195	59	29	29	8
ENSG00000009765	1	1	877	4	6	841	26	42	649	3	2	2680	7	3
ENSG00000009780	155	105	91	199	130	186	1329	1052	1229	338	214	223	134	73
ENSG00000009790	21	35	178	60	26	32	123	117	357	89	42	83	16	5
ENSG00000009830	358	202	349	137	59	83	1421	599	1769	1430	209	281	247	84
ENSG00000009844	579	200	283	439	309	267	4588	2678	3978	1742	488	652	410	212
ENSG00000009950	278	186	1235	67	31	259	499	75	2706	228	23	530	93	22
ENSG00000009954	1437	711	701	2585	1946	1500	6346	5721	6137	3147	1082	1279	1014	611
ENSG00000010017	971	253	358	1101	466	374	8321	3428	3664	1300	441	611	598	232
ENSG00000010030	7	4	8	4	3	4	34	26	33	3	5	9	2	4
ENSG00000010072	83	59	82	109	91	94	704	877	973	398	108	139	72	52
