ENSG_ID	AltIso_heart	AltIso_brain
600	ENSG00000047346	2.67	1.24
601	ENSG00000047365	0.18	7.12
602	ENSG00000047410	4.6	4.13
603	ENSG00000047457	2.76	3.14
604	ENSG00000047578	1.26	2.21
605	ENSG00000047579	10.59	18.43
606	ENSG00000047597	2.03	1.84
607	ENSG00000047617	0.34	0.19
608	ENSG00000047621	1.69	1.99
609	ENSG00000047634	1.63	0.31
610	ENSG00000047644	6.14	2.05
611	ENSG00000047648	1.94	0.75
612	ENSG00000047662	0.06	0.9
613	ENSG00000047932	4.21	7.28
614	ENSG00000047936	0	0
615	ENSG00000048028	10.48	0.87
616	ENSG00000048052	2.17	5.19
617	ENSG00000048162	2.94	9.11
618	ENSG00000048342	0.82	0.74
619	ENSG00000048405	1.25	0.94
620	ENSG00000048462	0.11	0
621	ENSG00000048471	9.24	18.27
622	ENSG00000048540	0.96	32.22
623	ENSG00000048544	16.98	12.91
624	ENSG00000048545	0	3.34
625	ENSG00000048649	3.65	8.07
626	ENSG00000048707	6.81	5.12
627	ENSG00000048740	10.38	9.26
628	ENSG00000048828	25.47	16.46
629	ENSG00000048991	1.87	21.22
630	ENSG00000049089	0	2.64
631	ENSG00000049130	0.73	2.05
632	ENSG00000049167	0.61	0.73
633	ENSG00000049239	5.58	2.26
634	ENSG00000049245	7.39	13.35
635	ENSG00000049246	3.43	6.93
636	ENSG00000049247	0	0
637	ENSG00000049249	0	0.06
638	ENSG00000049283	4.09	1.82
639	ENSG00000049319	0	0
640	ENSG00000049323	19.19	2.62
641	ENSG00000049449	12.1	14.18
642	ENSG00000049540	1.94	0.75
643	ENSG00000049541	3.82	5.62
644	ENSG00000049618	6.73	8.72
645	ENSG00000049656	9.7	16.1
646	ENSG00000049759	9.25	12.77
647	ENSG00000049768	0	0.34
648	ENSG00000049860	35.48	9.55
649	ENSG00000049883	1.1	1.95
650	ENSG00000050030	0.04	1.53
651	ENSG00000050130	5.9	8.88
652	ENSG00000050165	255.65	232.96
653	ENSG00000050327	0.79	0
654	ENSG00000050344	0.65	0.52
655	ENSG00000050393	4.73	2.92
656	ENSG00000050405	3.35	3.27
657	ENSG00000050426	3.81	13.74
658	ENSG00000050438	0	6.47
659	ENSG00000050555	0.2	0.53
660	ENSG00000050730	0	0.23
661	ENSG00000050748	8.41	21.89
662	ENSG00000050767	8.15	2.65
663	ENSG00000050820	15.17	21.8
664	ENSG00000051009	2.69	5.24
665	ENSG00000051108	16.58	16.1
666	ENSG00000051128	6.65	6.1
667	ENSG00000051180	0.24	0
668	ENSG00000051341	0.09	0.01
669	ENSG00000051382	3.45	7.52
670	ENSG00000051523	54.61	34.14
671	ENSG00000051620	46.38	11.55
672	ENSG00000051825	1.41	0.42
673	ENSG00000052126	11.62	5.44
674	ENSG00000052344	0	0.2
675	ENSG00000052723	1.5	1.55
676	ENSG00000052749	4.53	6.31
677	ENSG00000052795	19.53	6.18
678	ENSG00000052802	0.51	13.95
679	ENSG00000052841	2.69	2.69
680	ENSG00000052850	0	0.08
681	ENSG00000053108	0	4
682	ENSG00000053254	16.44	6.58
683	ENSG00000053328	0.34	0.35
684	ENSG00000053371	10.89	15.05
685	ENSG00000053372	3.13	7.03
686	ENSG00000053438	0.58	62.53
687	ENSG00000053501	7.3	14.58
688	ENSG00000053524	0.02	9.15
689	ENSG00000053702	1.62	7.63
690	ENSG00000053770	4.67	5.74
691	ENSG00000053900	2.24	2.11
692	ENSG00000053918	9.87	0
693	ENSG00000054116	14.28	11.52
694	ENSG00000054118	34.57	38.31
695	ENSG00000054148	108.21	48.89
696	ENSG00000054179	0.29	3.41
697	ENSG00000054219	0.17	0.25
698	ENSG00000054267	2.6	7.18
699	ENSG00000054277	1.13	15.99
700	ENSG00000054282	2.31	3.33
701	ENSG00000054356	0.03	73.94
702	ENSG00000054392	1.02	0.85
703	ENSG00000054523	11.29	34.95
704	ENSG00000054611	4.76	3.22
705	ENSG00000054690	0.62	25.69
706	ENSG00000054793	4.28	55.33
707	ENSG00000054796	0	0
708	ENSG00000054803	0	8.9
709	ENSG00000054938	2.3	0.34
710	ENSG00000054965	4.37	34.66
711	ENSG00000054967	0.31	3.78
712	ENSG00000054983	3.84	9.3
713	ENSG00000055044	5.39	7.88
714	ENSG00000055070	92.91	21.76
715	ENSG00000055118	23.36	4.97
716	ENSG00000055130	8.25	14.65
717	ENSG00000055147	6.4	2.29
718	ENSG00000055163	12.24	153.3
719	ENSG00000055208	16.81	8.54
720	ENSG00000055211	13.7	11.19
721	ENSG00000055332	2.8	12.53
722	ENSG00000055483	3.05	3.18
723	ENSG00000055609	2.38	3.12
724	ENSG00000055732	0	0
725	ENSG00000055813	2.11	16
726	ENSG00000055917	6.07	8.2
727	ENSG00000055950	33.27	12.58
728	ENSG00000055955	0.73	0.28
729	ENSG00000055957	0	0
730	ENSG00000056050	2.67	4.41
731	ENSG00000056097	17.7	30.34
732	ENSG00000056277	0.07	0.28
733	ENSG00000056291	0	0.23
734	ENSG00000056345	0.68	1.03
735	ENSG00000056487	0	0.82
736	ENSG00000056558	0.34	0.83
737	ENSG00000056661	14.69	16.43
738	ENSG00000056736	1.07	3.59
739	ENSG00000056972	0	3.99
740	ENSG00000056998	0.34	2.59
741	ENSG00000057019	7.59	1.66
742	ENSG00000057149	0	0
743	ENSG00000057252	1.3	1.64
744	ENSG00000057294	86.01	0.6
745	ENSG00000057468	0.06	0
746	ENSG00000057593	0	0.3
747	ENSG00000057608	43.32	71.5
748	ENSG00000057663	2.35	5.15
749	ENSG00000057704	0.75	7.75
